# 原語が`/` で始まるものはJavaScript RegExp(iフラグ自動付与)
原語,対訳,備考
# 一般的(表記揺れ対策)
open an issue,issueを作成
# UI (lean4gameでの表記)
Show more help!,助けて！
Next,次
Home,ホーム
progress,セーブデータ,意訳 進捗でも良いかと思ったが、こちらのほうが概念として伝わりやすそう UIも同じ表記
Editor mode,エディタモード
Typewriter mode,タイプライターモード

# 数学
/axioms?/,公理
associativity,結合法則
commutativity,交換法則
totality,全順序性
implication,含意
transitivity,推移律
reflexivity,反射律
the freshman's dream,一年生の夢,Wikipediaに記述あり
natural numbers,自然数
mathematical proof,数学の証明,数学的は一般的ではなさそうと判断
theorem,定理
Statement,命題,文脈で主張やステートメントにする
Proposition,命題
subterm,部分項,JAIST 計算理論研究室
base case,基底段階,http://dopal.cs.uec.ac.jp/okamotoy/lect/2013/discretemath/term12.pdf 電通大離散数学用語一覧
induction step,帰納段階,http://dopal.cs.uec.ac.jp/okamotoy/lect/2013/discretemath/term12.pdf 電通大離散数学用語一覧
commutative monoid,可換モノイド
additive monoid,加法的モノイド,この表現自体は直接使用されないが、参考訳として記載
commutative ring,可換環
commutative semiring,可換半環

# Lean
/tactics?/,タクティク
goal,ゴール,一般語句との混在に注意
object,対象,ローカルコンテキスト の項目が表示されるが、仮定と分けて表示されたりすることもあるため対象 と訳すのが無難と判断
definitional equality,定義上の等しさ,https://github.com/lean-ja/fp-lean-ja/issues/91
propositional equality,命題上の等しさ,https://github.com/lean-ja/fp-lean-ja/issues/91
simp lemma,simp 補題

# Worlds
successor,後者,Wikipediaから
zero,0,ゼロと0で表記揺れが発生 この0は数学の0に対して使用し、"ゼロから作る" のようなものには当てはめない
Strong Induction World,強帰納法ワールド,fuzzy WIISは強数学的帰納法 強い帰納法などの表現もあり
Advanced Addition World,高度な加算ワールド
Advanced Multiplication World,高度な乗算ワールド
Addition World,加算ワールド
Multiplication World,乗算ワールド
Implication World,含意ワールド
Power World,冪乗ワールド
Even/Odd World,偶数/奇数ワールド
world,ワールド
# 統一したい語句
Can you take it from here?,ここからは自力で進められますか？

